-0.016,0.097,0.007,0.995
-0.015,0.095,-0.004,0.995
-0.018,0.090,-0.021,0.996
-0.023,0.085,-0.037,0.995
-0.038,0.079,-0.060,0.994
-0.044,0.076,-0.098,0.991
-0.044,0.075,-0.131,0.988
-0.043,0.081,-0.163,0.982
-0.039,0.094,-0.204,0.974
-0.036,0.101,-0.232,0.967
-0.034,0.105,-0.259,0.960
-0.030,0.107,-0.280,0.954
-0.024,0.111,-0.294,0.949
-0.018,0.118,-0.309,0.944
-0.014,0.119,-0.313,0.942
-0.006,0.115,-0.303,0.946
-0.005,0.111,-0.294,0.949
-0.002,0.099,-0.273,0.957
0.006,0.087,-0.246,0.965
0.021,0.080,-0.211,0.974
0.036,0.074,-0.155,0.985
0.041,0.063,-0.113,0.991
0.046,0.055,-0.073,0.995
0.050,0.050,-0.033,0.997
0.049,0.052,-0.014,0.997
0.046,0.054,0.000,0.997
0.045,0.058,0.007,0.997
0.045,0.065,0.002,0.997
0.045,0.070,0.000,0.997
0.047,0.074,0.005,0.996
0.048,0.078,0.006,0.996
0.046,0.083,0.006,0.995
0.040,0.091,0.004,0.995
0.036,0.099,0.005,0.994
0.035,0.106,0.005,0.994
0.031,0.115,0.006,0.993
0.032,0.119,0.005,0.992
0.029,0.110,0.006,0.993
0.030,0.108,0.006,0.994
