-0.080,-0.012,-0.005,0.997
-0.067,-0.024,-0.007,0.997
-0.060,-0.030,-0.005,0.998
-0.056,-0.032,-0.004,0.998
-0.047,-0.035,0.001,0.998
-0.045,-0.040,-0.005,0.998
-0.045,-0.040,-0.005,0.998
-0.046,-0.049,-0.010,0.998
-0.064,-0.059,-0.015,0.996
-0.069,-0.062,-0.016,0.996
-0.100,-0.074,-0.022,0.992
-0.178,-0.085,-0.037,0.980
-0.208,-0.100,-0.046,0.972
-0.239,-0.115,-0.053,0.963
-0.286,-0.125,-0.062,0.948
-0.323,-0.133,-0.069,0.934
-0.360,-0.142,-0.077,0.919
-0.391,-0.153,-0.088,0.903
-0.430,-0.162,-0.102,0.882
-0.456,-0.166,-0.112,0.867
-0.477,-0.172,-0.120,0.853
-0.506,-0.181,-0.128,0.834
-0.526,-0.184,-0.133,0.819
-0.548,-0.187,-0.139,0.803
-0.553,-0.188,-0.141,0.799
-0.579,-0.190,-0.155,0.778
-0.589,-0.193,-0.162,0.768
-0.599,-0.198,-0.168,0.757
-0.601,-0.201,-0.173,0.754
-0.601,-0.198,-0.174,0.754
-0.595,-0.201,-0.173,0.759
-0.589,-0.206,-0.172,0.762
-0.575,-0.211,-0.172,0.772
-0.547,-0.217,-0.171,0.790
-0.497,-0.223,-0.155,0.824
-0.446,-0.225,-0.133,0.856
-0.372,-0.220,-0.098,0.897
-0.311,-0.210,-0.067,0.925
-0.230,-0.198,-0.025,0.953
-0.172,-0.200,0.003,0.965
-0.123,-0.211,0.025,0.969
-0.082,-0.216,0.043,0.972
-0.033,-0.205,0.068,0.976
-0.001,-0.197,0.085,0.977
0.025,-0.191,0.096,0.977
0.043,-0.177,0.104,0.978
0.036,-0.142,0.104,0.984
0.004,-0.092,0.094,0.991
-0.054,-0.034,0.064,0.996
-0.111,0.012,0.034,0.993
-0.152,0.039,0.014,0.987
-0.201,0.064,-0.006,0.977
-0.256,0.068,-0.025,0.964
-0.266,0.066,-0.028,0.961
-0.302,0.064,-0.045,0.950
-0.333,0.060,-0.058,0.939
-0.369,0.051,-0.080,0.925
-0.366,0.047,-0.079,0.926
-0.343,0.028,-0.067,0.937
-0.249,-0.040,-0.002,0.968
-0.212,-0.060,0.021,0.975
-0.194,-0.070,0.031,0.978
-0.065,-0.137,0.077,0.985
-0.013,-0.157,0.090,0.983
0.030,-0.170,0.103,0.980
0.052,-0.163,0.134,0.976
0.050,-0.161,0.167,0.971
0.040,-0.156,0.209,0.965
0.019,-0.143,0.272,0.952
0.006,-0.135,0.310,0.941
-0.003,-0.136,0.341,0.930
0.004,-0.142,0.348,0.927
0.018,-0.154,0.333,0.930
0.044,-0.191,0.269,0.943
0.087,-0.230,0.200,0.949
