-0.028,-0.028,-0.006,0.999
-0.024,-0.026,-0.004,0.999
-0.025,-0.025,-0.005,0.999
-0.029,-0.031,-0.007,0.999
-0.026,-0.033,-0.009,0.999
-0.019,-0.029,-0.009,0.999
-0.013,-0.018,-0.008,1.000
-0.005,0.015,-0.008,1.000
0.002,0.079,-0.006,0.997
0.012,0.149,-0.002,0.989
0.027,0.222,0.004,0.975
0.034,0.279,0.010,0.960
0.037,0.328,0.013,0.944
0.036,0.396,0.016,0.917
0.035,0.435,0.017,0.900
0.035,0.443,0.017,0.896
0.035,0.471,0.019,0.881
0.041,0.483,0.021,0.874
0.042,0.481,0.021,0.875
0.046,0.467,0.022,0.883
0.046,0.418,0.024,0.907
0.046,0.418,0.024,0.907
0.061,0.304,0.017,0.950
0.066,0.225,0.014,0.972
0.066,0.166,0.009,0.984
0.067,0.130,0.006,0.989
0.066,0.077,0.006,0.995
0.065,0.043,0.007,0.997
0.062,0.009,0.008,0.998
0.062,-0.019,0.007,0.998
0.060,-0.038,0.006,0.997
0.060,-0.046,-0.001,0.997
0.055,-0.049,-0.011,0.997
0.053,-0.045,-0.017,0.997
0.056,-0.039,-0.017,0.998
0.059,-0.029,-0.013,0.998
0.060,-0.020,-0.010,0.998
0.058,-0.012,-0.009,0.998
0.058,0.003,-0.009,0.998
0.058,0.011,-0.010,0.998
0.057,0.018,-0.010,0.998
0.054,0.030,-0.009,0.998
0.063,0.034,-0.009,0.997
0.060,0.027,-0.008,0.998
